jMRUI Results Textfile

Filename: Pat01_31P MRS_0000.rda

Name of Patient: Test DATA Hannah 
Date of Experiment: 20190409
Spectrometer: Skyra
Additional Information: Studien

Points	Samp.Int.	ZeroOrder	BeginTime	Tra.Freq.	Magn.F.	Nucleus
1024      	5E-1      	-1.7889E-1	2.3E0     	4.9894E7  	3E0       	1E0       

Name of Algorithm: AMARES

PETH	PI	GPE	GPC	PCRE	ATP-G-1	ATP-G-2	ATP-A-1	ATP-A-2	ATP-B-1	ATP-B-2	ATP-B-3	PCHO	MM	NAD(H)	

Frequencies (ppm)
-2.2711E-1	-2.2711E-1	-2.2711E-1	-2.2711E-1	-2.2711E-1	-2.2711E-1	-2.2711E-1	-2.2711E-1	-2.2711E-1	-2.2711E-1	-2.2711E-1	-2.2711E-1	-2.2711E-1	-2.2711E-1	-2.2711E-1	
-2.2711E-1	-2.2711E-1	-2.2711E-1	-2.2711E-1	-2.2711E-1	-2.2711E-1	-2.2711E-1	-2.2711E-1	-2.2711E-1	-2.2711E-1	-2.2711E-1	-2.2711E-1	-2.2711E-1	-2.2711E-1	-2.2711E-1	
-2.2711E-1	-2.2711E-1	-2.2711E-1	-2.2711E-1	-2.2711E-1	-2.2711E-1	-2.2711E-1	-2.2711E-1	-2.2711E-1	-2.2711E-1	-2.2711E-1	-2.2711E-1	-2.2711E-1	-2.2711E-1	-2.2711E-1	
-2.2711E-1	-2.2711E-1	-2.2711E-1	-2.2711E-1	-2.2711E-1	-2.2711E-1	-2.2711E-1	-2.2711E-1	-2.2711E-1	-2.2711E-1	-2.2711E-1	-2.2711E-1	-2.2711E-1	-2.2711E-1	-2.2711E-1	
-2.2711E-1	-2.2711E-1	-2.2711E-1	-2.2711E-1	-2.2711E-1	-2.2711E-1	-2.2711E-1	-2.2711E-1	-2.2711E-1	-2.2711E-1	-2.2711E-1	-2.2711E-1	-2.2711E-1	-2.2711E-1	-2.2711E-1	
-2.2711E-1	-2.2711E-1	-2.2711E-1	-2.2711E-1	-2.2711E-1	-2.2711E-1	-2.2711E-1	-2.2711E-1	-2.2711E-1	-2.2711E-1	-2.2711E-1	-2.2711E-1	-2.2711E-1	-2.2711E-1	-2.2711E-1	
-2.2711E-1	-2.2711E-1	-2.2711E-1	-2.2711E-1	-2.2711E-1	-2.2711E-1	-2.2711E-1	-2.2711E-1	-2.2711E-1	-2.2711E-1	-2.2711E-1	-2.2711E-1	-2.2711E-1	-2.2711E-1	-2.2711E-1	
-2.2711E-1	-2.2711E-1	-2.2711E-1	-2.2711E-1	-2.2711E-1	-2.2711E-1	-2.2711E-1	-2.2711E-1	-2.2711E-1	-2.2711E-1	-2.2711E-1	-2.2711E-1	-2.2711E-1	-2.2711E-1	-2.2711E-1	
-2.2711E-1	-2.2711E-1	-2.2711E-1	-2.2711E-1	-2.2711E-1	-2.2711E-1	-2.2711E-1	-2.2711E-1	-2.2711E-1	-2.2711E-1	-2.2711E-1	-2.2711E-1	-2.2711E-1	-2.2711E-1	-2.2711E-1	
-2.2711E-1	-2.2711E-1	-2.2711E-1	-2.2711E-1	-2.2711E-1	-2.2711E-1	-2.2711E-1	-2.2711E-1	-2.2711E-1	-2.2711E-1	-2.2711E-1	-2.2711E-1	-2.2711E-1	-2.2711E-1	-2.2711E-1	
-2.2711E-1	-2.2711E-1	-2.2711E-1	-2.2711E-1	-2.2711E-1	-2.2711E-1	-2.2711E-1	-2.2711E-1	-2.2711E-1	-2.2711E-1	-2.2711E-1	-2.2711E-1	-2.2711E-1	-2.2711E-1	-2.2711E-1	
-2.2711E-1	-2.2711E-1	-2.2711E-1	-2.2711E-1	-2.2711E-1	-2.2711E-1	-2.2711E-1	-2.2711E-1	-2.2711E-1	-2.2711E-1	-2.2711E-1	-2.2711E-1	-2.2711E-1	-2.2711E-1	-2.2711E-1	
-2.2711E-1	-2.2711E-1	-2.2711E-1	-2.2711E-1	-2.2711E-1	-2.2711E-1	-2.2711E-1	-2.2711E-1	-2.2711E-1	-2.2711E-1	-2.2711E-1	-2.2711E-1	-2.2711E-1	-2.2711E-1	-2.2711E-1	
-2.2711E-1	-2.2711E-1	-2.2711E-1	-2.2711E-1	-2.2711E-1	-2.2711E-1	-2.2711E-1	-2.2711E-1	-2.2711E-1	-2.2711E-1	-2.2711E-1	-2.2711E-1	-2.2711E-1	-2.2711E-1	-2.2711E-1	
-2.2711E-1	-2.2711E-1	-2.2711E-1	-2.2711E-1	-2.2711E-1	-2.2711E-1	-2.2711E-1	-2.2711E-1	-2.2711E-1	-2.2711E-1	-2.2711E-1	-2.2711E-1	-2.2711E-1	-2.2711E-1	-2.2711E-1	
-2.2711E-1	-2.2711E-1	-2.2711E-1	-2.2711E-1	-2.2711E-1	-2.2711E-1	-2.2711E-1	-2.2711E-1	-2.2711E-1	-2.2711E-1	-2.2711E-1	-2.2711E-1	-2.2711E-1	-2.2711E-1	-2.2711E-1	
-2.2711E-1	-2.2711E-1	-2.2711E-1	-2.2711E-1	-2.2711E-1	-2.2711E-1	-2.2711E-1	-2.2711E-1	-2.2711E-1	-2.2711E-1	-2.2711E-1	-2.2711E-1	-2.2711E-1	-2.2711E-1	-2.2711E-1	
-2.2711E-1	-2.2711E-1	-2.2711E-1	-2.2711E-1	-2.2711E-1	-2.2711E-1	-2.2711E-1	-2.2711E-1	-2.2711E-1	-2.2711E-1	-2.2711E-1	-2.2711E-1	-2.2711E-1	-2.2711E-1	-2.2711E-1	
-2.2711E-1	-2.2711E-1	-2.2711E-1	-2.2711E-1	-2.2711E-1	-2.2711E-1	-2.2711E-1	-2.2711E-1	-2.2711E-1	-2.2711E-1	-2.2711E-1	-2.2711E-1	-2.2711E-1	-2.2711E-1	-2.2711E-1	
6.8804E0	5.1108E0	3.6477E0	3.1266E0	9.6072E-2	-2.3014E0	-2.6221E0	-7.5738E0	-7.8944E0	-1.6751E1	-1.7072E1	-1.7393E1	6.3373E0	2.2847E0	-8.3518E0	
6.9373E0	4.5142E0	3.5933E0	2.7823E0	1.5297E-1	-2.3642E0	-2.6849E0	-6.5733E0	-6.894E0	-1.7319E1	-1.764E1	-1.796E1	6.3942E0	2.3416E0	-8.2949E0	
6.8796E0	5.08E0	3.4432E0	2.6456E0	9.5222E-2	-2.492E0	-2.8127E0	-7.2803E0	-7.6009E0	-1.6054E1	-1.6375E1	-1.6695E1	6.3364E0	2.2839E0	-8.3527E0	
6.6068E0	4.5458E0	3.287E0	2.6456E0	-1.7752E-1	-2.5381E0	-2.8588E0	-7.4433E0	-7.764E0	-1.6106E1	-1.6426E1	-1.6747E1	6.0637E0	2.0111E0	-8.6254E0	
6.2929E0	5.0044E0	3.287E0	2.6456E0	-4.9147E-1	-2.7605E0	-3.0812E0	-7.6887E0	-8.0094E0	-1.6452E1	-1.6773E1	-1.7094E1	5.7497E0	1.6972E0	-8.9393E0	
6.3155E0	5.0115E0	3.287E0	2.6456E0	-4.6884E-1	-2.7005E0	-3.0212E0	-7.7092E0	-8.0299E0	-1.6419E1	-1.674E1	-1.706E1	5.7724E0	1.7198E0	-8.9167E0	
6.3566E0	5.0154E0	3.287E0	2.6456E0	-4.2774E-1	-2.5631E0	-2.8838E0	-7.7191E0	-8.0398E0	-1.6263E1	-1.6583E1	-1.6904E1	5.8135E0	1.7609E0	-8.8756E0	
6.4049E0	4.9215E0	3.287E0	2.6801E0	-3.7943E-1	-2.386E0	-2.7067E0	-7.5822E0	-7.9029E0	-1.6134E1	-1.6455E1	-1.6776E1	5.8618E0	1.8092E0	-8.8273E0	
6.834E0	4.5936E0	3.4466E0	3.1175E0	4.9621E-2	-2.2706E0	-2.5913E0	-7.4059E0	-7.7265E0	-1.5545E1	-1.5866E1	-1.6186E1	6.2908E0	2.2383E0	-8.3983E0	
6.8412E0	4.6285E0	3.4455E0	3.1155E0	5.6794E-2	-2.697E0	-3.0177E0	-7.1189E0	-7.4396E0	-1.6516E1	-1.6837E1	-1.7157E1	6.298E0	2.2454E0	-8.3911E0	
-2.2711E-1	-2.2711E-1	-2.2711E-1	-2.2711E-1	-2.2711E-1	-2.2711E-1	-2.2711E-1	-2.2711E-1	-2.2711E-1	-2.2711E-1	-2.2711E-1	-2.2711E-1	-2.2711E-1	-2.2711E-1	-2.2711E-1	
-2.2711E-1	-2.2711E-1	-2.2711E-1	-2.2711E-1	-2.2711E-1	-2.2711E-1	-2.2711E-1	-2.2711E-1	-2.2711E-1	-2.2711E-1	-2.2711E-1	-2.2711E-1	-2.2711E-1	-2.2711E-1	-2.2711E-1	
-2.2711E-1	-2.2711E-1	-2.2711E-1	-2.2711E-1	-2.2711E-1	-2.2711E-1	-2.2711E-1	-2.2711E-1	-2.2711E-1	-2.2711E-1	-2.2711E-1	-2.2711E-1	-2.2711E-1	-2.2711E-1	-2.2711E-1	
-2.2711E-1	-2.2711E-1	-2.2711E-1	-2.2711E-1	-2.2711E-1	-2.2711E-1	-2.2711E-1	-2.2711E-1	-2.2711E-1	-2.2711E-1	-2.2711E-1	-2.2711E-1	-2.2711E-1	-2.2711E-1	-2.2711E-1	
-2.2711E-1	-2.2711E-1	-2.2711E-1	-2.2711E-1	-2.2711E-1	-2.2711E-1	-2.2711E-1	-2.2711E-1	-2.2711E-1	-2.2711E-1	-2.2711E-1	-2.2711E-1	-2.2711E-1	-2.2711E-1	-2.2711E-1	
